horse,career_runs,win_strike_rate
A Pal (AUS),5,0.4
A Part (FR),0,0.0
A Path To Ronda (IRE),7,0.4285714285714285
A Pearl Starling (IRE),4,0.0
A Penny A Hundred (FR),18,0.1666666666666666
A Perfect Day (IRE),6,0.3333333333333333
A Perfect Gift (IRE),7,0.1428571428571428
A Piacere (CHI),0,0.0
A Piece Of Heaven (FR),14,0.2142857142857142
A Pigalle (FR),5,0.2
A Pinch Of Luck (AUS),1,0.0
A Pint Ahead (IRE),2,0.0
A Pint Of Bear (IRE),57,0.1228070175438596
A Place Apart (IRE),50,0.04
A Place For Us (IRE),0,0.0
A Place To Dream (GB),9,0.0
A Place To Shine (USA),2,0.0
A Pleasant Suprise (IRE),0,0.0
A Plein Temps (FR),9,0.1111111111111111
A Pleines Dents (FR),4,0.25
A Plus Tard (FR),19,0.3684210526315789
A Poets Secret (GB),12,0.0833333333333333
A Posteriori (FR),6,0.1666666666666666
A Pretty Penny (IRE),6,0.0
A Prima Vista (FR),0,0.0
A Primera Vista (USA),0,0.0
A Pro Po (IRE),0,0.0
A Ps Bluegrass (USA),0,0.0
A Quaint Gal (IRE),1,0.0
A Quien Le Importa (CHI),1,0.0
A Racing Beauty (GER),0,0.0
A Rated (IRE),17,0.1176470588235294
A Raving Beauty (GER),15,0.2666666666666666
A Reason To Live (BRZ),0,0.0
A Red Tie Day (USA),7,0.0
A Rose Adaay (GB),5,0.0
A Rosefor Isabelle (USA),0,0.0
A Samurai Mind (AUS),1,0.0
A Scoop Or Two (GB),0,0.0
A Shade Of Bay (GB),4,0.0
A Sheer Beauty (GER),0,0.0
A Shin Bakken (JPN),1,0.0
A Shin Balancer (CAN),1,1.0
A Shin Beatlon (JPN),0,0.0
A Shin Bullseye (USA),10,0.1
A Shin Cerrado (JPN),0,0.0
A Shin Challenge (JPN),1,0.0
A Shin Chiller (JPN),2,0.0
A Shin Click (JPN),1,0.0
A Shin Deed (JPN),2,0.5
A Shin Deneb (JPN),0,0.0
A Shin Erwin (IRE),1,1.0
A Shin Fencer (JPN),5,0.2
A Shin Gigant (JPN),0,0.0
A Shin Gorgeous (JPN),0,0.0
A Shin Hikari (JPN),7,0.5714285714285714
A Shin Hiten (JPN),4,0.0
A Shin Hoof (JPN),3,0.0
A Shin Iguazu (JPN),0,0.0
A Shin Impala (IRE),14,0.1428571428571428
A Shin Kildare (USA),4,0.25
A Shin Max (GB),2,0.0
A Shin Moreover (JPN),4,0.0
A Shin Nispa (JPN),0,0.0
A Shin No Hoshi (JPN),0,0.0
A Shin Picasso (USA),0,0.0
A Shin Pixel (JPN),0,0.0
A Shin Rider (JPN),0,0.0
A Shin Rook (JPN),0,0.0
A Shin Spartan (USA),4,0.0
A Shin Spotter (JPN),10,0.0
A Shin Sturm (JPN),2,0.0
A Shin Teaser (JPN),0,0.0
A Shin Top (USA),3,0.0
A Shin Touring (JPN),0,0.0
A Shin Twinkle (JPN),5,0.0
A Shin Undine (IRE),23,0.0434782608695652
A Shin Valor (JPN),5,0.0
A Shin Wand (JPN),4,0.25
A Shin Whisper (JPN),0,0.0
A Shin Zone (JPN),0,0.0
A Shining Moon (IRE),24,0.0416666666666666
A Silent Player (IRE),0,0.0
A Sizing Network (FR),27,0.074074074074074
A Smile Like Yours (NZ),19,0.2105263157894736
A Smile Says Alot (IRE),0,0.0
A Smooth Criminal (IRE),3,0.3333333333333333
A Snow White Park (IRE),7,0.1428571428571428
A Soldiers Life (IRE),4,0.0
A Song For Sue (USA),0,0.0
A Song For You (GB),1,0.0
A Special Line (FR),7,0.0
A Spirit Of Love (GB),0,0.0
A Stam Is Born (FR),1,0.0
A Star Above (GB),7,0.1428571428571428
A Star In Leo (IRE),1,0.0
A Star Is Reborn (IRE),2,0.0
A Star Luster (AUS),7,0.0
A Step Too Far (IRE),21,0.238095238095238
A Sterling Dash (AUS),0,0.0
A Stoirin (IRE),1,0.0
A Stolen Kiss (FR),8,0.25
A Storm Is Born (FR),0,0.0
A Strip Of Amy (GB),3,0.0
A Suivre (FR),0,0.0
A Sunday Dream (FR),5,0.2
A Sure Welcome (GB),74,0.2027027027027027
A Swan Song (GB),4,0.0
A T Lassen (JPN),0,0.0
A T Makfi (JPN),4,0.25
A T Talant (JPN),0,0.0
A T Thunder (JPN),1,0.0
A Ta Guise (FR),3,0.0
A Taad Moody (IRE),3,0.0
A Tail Of Intrigue (IRE),16,0.0
A Taste Of Glory (GER),5,0.4
A Taste Of Honey (GB),9,0.2222222222222222
A Thousand Degrees (AUS),0,0.0
A Thousand Miles (USA),6,0.0
A Thread Of Blue (USA),6,0.1666666666666666
A Three Eighty (FR),3,0.3333333333333333
A Tickatickatiming (GB),22,0.0909090909090909
A Time For Julia (AUS),1,0.0
A Time For Us (AUS),7,0.0
A Time To Dream (SAF),1,0.0
A Time To Shine (IRE),5,0.0
A Tipp For Gold (IRE),11,0.0909090909090909
A Todo Galope (CHI),3,0.0
A Toi Phil (FR),44,0.2045454545454545
A Ton Nom (FR),0,0.0
A Ton Tour (FR),1,0.0
A Touch Of Luck (GER),7,0.0
A Touch Of Sass (IRE),6,0.0
A Touch Of Silver (GB),6,0.0
A Touch Of Sparkle (IRE),13,0.0769230769230769
A Tout Jamais (IRE),0,0.0
A Tout Propos (FR),4,0.0
A Tracks (JPN),1,0.0
A Travers Toi (FR),1,0.0
A Truant Always (IRE),2,0.0
A Tu Alcance (ARG),0,0.0
A Twist Of Fate (IRE),9,0.1111111111111111
A Twist Of Time (IRE),3,0.0
A Very Fine Red (AUS),4,0.0
A Virtuous Woman (IRE),0,0.0
A Voir (FR),0,0.0
A Vos Gardes (FR),13,0.0769230769230769
A Vos Marques (FR),1,0.0
A War Eagle (IRE),11,0.1818181818181818
A Wave Of The Sea (IRE),62,0.1612903225806451
A We Bit Flirty (USA),1,0.0
A Western Yarn (USA),0,0.0
A Wicked Wildcat (USA),0,0.0
A Will A Way (JPN),13,0.0
A Wish Away (IRE),2,0.0
A Year Older (IRE),10,0.1
A Year To Remember (IRE),10,0.2
