horse,career_runs,win_strike_rate
Instaworthy (SAF),0,0.0
Instigated (USA),0,0.0
Instigation (GB),2,0.0
Instigator (GER),8,0.0
Instill (GB),9,0.2222222222222222
Instilled Regard (USA),9,0.2222222222222222
Instinct (GB),4,0.0
Instinct De Loup (FR),1,0.0
Instinct dAinay (FR),3,0.0
Instinction (GB),11,0.1818181818181818
Instinctive Move (GB),11,0.0909090909090909
Instinctly (IRE),4,0.0
Instinctual (GB),2,0.0
Instingtive (IRE),49,0.0816326530612244
Instit (FR),16,0.125
Institute (IRE),4,0.0
Institution (AUS),0,0.0
Institution (IRE),15,0.0
Instrip (GB),2,0.0
Instruct (USA),3,0.0
Instruit (GB),21,0.1904761904761904
Instrumental (GB),9,0.2222222222222222
Instrumentalist (IRE),0,0.0
Instrumentiste (FR),1,0.0
Insubordination (IRE),0,0.0
Insufficient Funds (IRE),1,0.0
Insulate (IRE),8,0.0
Insult (IRE),5,0.2
Insurgence (GB),14,0.2142857142857142
Insurplus (IRE),58,0.1206896551724138
Insurrection (AUS),5,0.0
Insurrection (IRE),15,0.2
Insuspense (GB),13,0.0
Inswing (IRE),4,0.25
Inta (FR),2,0.0
Intaglio (POR),1,0.0
Intalza (IRE),15,0.2
Integral (GB),3,0.0
Integral (USA),2,0.0
Integrale (FR),0,0.0
Integrant (FR),21,0.238095238095238
Integrate (JPN),0,0.0
Integration (USA),12,0.25
Integretas (IRE),1,0.0
Intejeen (KSA),0,0.0
Intel (GB),0,0.0
Intel Des Bruyeres (FR),1,0.0
Inteldesire (FR),0,0.0
Inteldream (GB),5,0.4
Intelectual (BRZ),0,0.0
Intelectuelle (IRE),0,0.0
Intellect (FR),5,0.2
Intellect (IRE),4,0.5
Intellectual Glide (NZ),9,0.0
Intellectuelle (FR),2,0.0
Intelligence (BHR),1,0.0
Intelligence (USA),2,0.0
Intelligence Cross (USA),22,0.1363636363636363
Intelligencer (AUS),0,0.0
Intelligentsia (IRE),2,0.5
Intellina (GB),4,0.0
Intellingencia (FR),0,0.0
Intellita (FR),3,0.0
Intello Boy (GB),6,0.0
Intello County (FR),12,0.0
Intello Kiss (GB),0,0.0
Intellogent (IRE),32,0.125
Intellotto (IRE),18,0.2222222222222222
Intemporelle (FR),3,0.0
Intend (IRE),22,0.0454545454545454
Intend (USA),0,0.0
Intendantin (GER),3,0.0
Intense Approach (GB),18,0.3888888888888889
Intense Battle (IRE),1,0.0
Intense Effort (IRE),22,0.0909090909090909
Intense Emotion (IRE),4,0.0
Intense Expression (IRE),0,0.0
Intense Focus (AUS),0,0.0
Intense For Me (ARG),5,0.2
Intense Life (IRE),3,0.0
Intense Light (JPN),2,0.0
Intense Pleasure (IRE),13,0.0
Intense Pride (IRE),4,0.0
Intense Raffles (FR),19,0.2631578947368421
Intense Reflet (JPN),0,0.0
Intense Romance (IRE),25,0.36
Intense Starlet (IRE),38,0.0789473684210526
Intense Style (IRE),61,0.0491803278688524
Intense Stylist (IRE),34,0.0294117647058823
Intense Tango (GB),35,0.1142857142857142
Intense Vision (GB),0,0.0
Intensely Focussed (IRE),5,0.0
Intenser (IRE),3,0.0
Intensety (IRE),2,0.0
Intensical (IRE),20,0.0
Intensified (IRE),19,0.0
Intensify (IRE),0,0.0
Intensity (SAF),0,0.0
Intent (IRE),0,0.0
Intent Approach (IRE),11,0.0909090909090909
Intention (AUS),4,0.0
Intention (FR),1,0.0
Intention (NZ),2,0.0
Intention Borget (FR),1,0.0
Intenzo (FR),7,0.0
Intenzo Sport (FR),0,0.0
Inter Approach (IRE),1,0.0
Inter Bombaza (ARG),0,0.0
Inter Melodico (ARG),0,0.0
Inter Miami (USA),4,0.0
Inter Mool (FR),0,0.0
Inter Pol (FR),11,0.0
Inter Roman (ARG),0,0.0
Inter Royal Lady (IRE),0,0.0
Interactiv (IRE),1,0.0
Interamericana (URU),0,0.0
Interbanking (ARG),2,0.0
Intercepted (GB),4,0.25
Interception (IRE),7,0.1428571428571428
Intercessor (GB),47,0.1276595744680851
Interchangeable (GB),13,0.0769230769230769
Interchoice Star (GB),12,0.0
Interconnected (GB),4,0.0
Interconnection (GB),23,0.217391304347826
Intercooler Turbo (IRE),5,0.0
Intercounty Star (IRE),10,0.0
Interdetto (ARG),5,0.0
Interdit De Jeu (FR),8,0.5
Interdite (FR),0,0.0
Interest (USA),0,0.0
Interest Free (AUS),0,0.0
Interest Free (USA),0,0.0
Interest Point (AUS),1,0.0
Interesting (IRE),0,0.0
Interestnpenalties (IRE),17,0.0588235294117647
Intergalactic (SAF),2,0.0
Intergalacticat (GB),9,0.2222222222222222
Intergalactico (BRZ),0,0.0
Interiale (FR),2,0.0
Interieur (IRE),3,0.6666666666666666
Interieur Cuir (FR),2,0.0
Interior Minister (GB),4,0.0
Interject (USA),1,0.0
Interjection (AUS),0,0.0
Interlink (USA),20,0.05
Interlinked (NZ),0,0.0
Interlocuter (USA),9,0.1111111111111111
Intermedia (IRE),11,0.0
Intermedium (GB),16,0.0
Intermission (JPN),2,0.0
Intermittent (GB),7,0.1428571428571428
Intermodal (GB),19,0.0526315789473684
Internal Affairs (AUS),0,0.0
Internal Bourbon (CAN),0,0.0
Internal Conflict (IRE),4,0.0
Internal Transfer (GB),13,0.2307692307692307
Internalrunner (GB),2,0.0
International (USA),3,0.3333333333333333
International Boy (IRE),16,0.0
International Girl (IRE),31,0.1612903225806451
International Guy (IRE),3,0.0
International Lady (IRE),35,0.0571428571428571
International Law (GB),86,0.1046511627906976
International Lion (GB),21,0.0476190476190476
International Look (ARG),4,0.0
International Love (GER),0,0.0
International Man (GB),23,0.1739130434782608
International Name (GB),5,0.0
International Star (USA),9,0.3333333333333333
Internationalangel (IRE),25,0.28
Internationaldream (IRE),21,0.0476190476190476
Internationaltiger (GB),8,0.0
Internaute (IRE),8,0.25
Interne De Sivola (FR),12,0.1666666666666666
Internet Biddy (IRE),12,0.0
Internet Express (USA),1,0.0
Interplanetary (NZ),0,0.0
Interplay (FR),1,0.0
Interpleader (GB),6,0.1666666666666666
Interpol (CAN),5,0.4
Interpolate (USA),1,0.0
Interposer (JPN),0,0.0
Interpret (USA),14,0.0714285714285714
Interpretation (IRE),19,0.2105263157894736
Interro Surprise (FR),5,0.0
Interrogation (FR),7,0.0
Interrogator (IRE),5,0.0
Interrupted (USA),0,0.0
Interrupted Dream (GB),14,0.0714285714285714
Intersection (JPN),0,0.0
Intersky Sunset (IRE),22,0.0454545454545454
Interstate (GB),1,0.0
Interstatedaydream (CAN),4,0.5
Interstella (FR),1,0.0
Interstella (GER),6,0.0
Interstellaire (FR),8,0.0
Interstellar (AUS),10,0.0
Interstellar (FR),0,0.0
Interstellar (ITY),4,0.25
Intertwine (FR),9,0.0
Intertwined (IRE),5,0.0
Interval (FR),0,0.0
Intervention (GB),123,0.1219512195121951
Interview (FR),0,0.0
Interweave (GB),4,0.25
Inthar (USA),4,0.0
Intheblinkofaneye (IRE),0,0.0
Intheboriscamp (IRE),4,0.0
Inthedeal (GB),2,0.0
Inthejungle (IRE),1,0.0
Inthemidstofbiz (USA),1,1.0
Inthenickoftime (IRE),16,0.125
Inthenicoftime (GB),3,0.0
Inthepipe (IRE),0,0.0
Inthepocket (GB),13,0.3076923076923077
Inthepoorhouse (IRE),10,0.0
Inthesmallhours (GB),4,0.25
Inthewaterside (FR),8,0.5
Inthewinnerscircle (USA),1,0.0
Inti (JPN),10,0.2
Intibaah (GB),19,0.0526315789473684
Intifadah (IRE),25,0.04
Intilaaq (USA),5,0.6
Intimate (FR),11,0.0909090909090909
Intimate Art (IRE),11,0.1818181818181818
Intimate Moment (GB),7,0.1428571428571428
Intimate Moment (NZ),3,0.0
Intimately (GB),32,0.125
Intimation (GB),11,0.2727272727272727
Intime Dream (FR),0,0.0
Intime Wild (FR),3,0.0
Intimidate (GB),2,0.0
Intimidating (USA),2,0.0
Intimidator (IRE),8,0.0
Intimiste (FR),1,0.0
Intinso (GB),19,0.1052631578947368
Intisaab (GB),63,0.1587301587301587
Intisar (FR),3,0.3333333333333333
Intisari (IRE),10,0.3
Intisha (IRE),5,0.0
Intiwin (IRE),32,0.09375
Into Battle (IRE),16,0.1875
Into Champagne (USA),4,0.0
Into Chocolate (USA),2,0.0
Into Combat (GB),4,0.0
Into Debt (GB),5,0.0
Into Faith (FR),12,0.0833333333333333
Into Fancy (USA),0,0.0
Into Money (USA),0,0.0
Into Mystic (USA),2,0.0
Into Orbit (AUS),3,0.0
Into Overdrive (GB),15,0.3333333333333333
Into Rio (NZ),2,0.0
Into Summer (USA),0,0.0
Into The Abyss (AUS),19,0.0
Into The Blue (GB),0,0.0
Into The Breach (FR),7,0.0
Into The Fire (FR),4,0.0
Into The Fray (USA),0,0.0
Into The Future (SAF),0,0.0
Into The Groove (IRE),1,0.0
Into The Lane (IRE),0,0.0
Into The Light (GB),2,0.5
Into The Mist (AUS),4,0.0
Into The Mist (GB),3,0.0
Into The Mystic (IRE),4,0.0
Into The Oblivion (AUS),1,0.0
Into The Park (IRE),15,0.1333333333333333
Into The Red (AUS),2,0.5
Into The Rock (GB),29,0.0
Into The Sky (IRE),2,0.5
Into The Sound (IRE),6,0.0
Into The South (USA),0,0.0
Into The Spotlight (IRE),11,0.0
Into The Sunrise (USA),4,0.0
Into The Sunset (IRE),17,0.1176470588235294
Into The Unknown (IRE),2,0.0
Into The Wild (IRE),2,0.0
Into The Wind (GB),1,0.0
Into The Woods (IRE),5,0.0
Into The Zone (GB),4,0.0
Into Tomorrow (IRE),0,0.0
Into Trouble (USA),0,0.0
Into Vanishing (USA),2,0.0
Into Wynning (USA),0,0.0
Into You (AUS),2,0.0
Intocable Z (URU),0,0.0
Intofocus (GB),0,0.0
Intosomethinggood (GB),14,0.2142857142857142
Intothelimelight (AUS),2,0.5
Intothemystic (SAF),0,0.0
Intouch (FR),0,0.0
Intown Green (BRZ),0,0.0
Intoxicata (FR),25,0.2
Intoxicating Kiss (USA),1,0.0
Intoxicating Move (USA),0,0.0
Intoxication (GB),11,0.0
Intoxikating (GB),2,0.0
Intra Muros (IRE),0,0.0
Intranet (FR),2,0.5
Intransigent (GB),46,0.0434782608695652
Intransive (GB),1,0.0
Intrepic (AUS),30,0.0666666666666666
Intrepid (IRE),6,0.1666666666666666
Intrepid Daydream (USA),2,0.0
Intrepid Glory (IRE),4,0.0
Intrepid Heart (USA),3,0.0
Intrepid Italian (GB),5,0.0
Intrepid Prince (IRE),14,0.1428571428571428
Intrepid Sun (FR),1,0.0
Intrepid Way (NZ),2,0.0
Intrepid Winner (AUS),37,0.054054054054054
Intrepidacious (AUS),0,0.0
Intrepide Sivola (FR),0,0.0
Intrepide Sud (FR),11,0.1818181818181818
Intrepidly (USA),20,0.15
Intrepido (USA),4,0.25
Intrepidwood (FR),3,0.0
Intricacy (GB),19,0.1578947368421052
Intricate (GB),7,0.0
Intricate (USA),4,0.25
Intricate Pillar (IRE),10,0.1
Intricate Spirit (USA),0,0.0
Intricately (IRE),11,0.1818181818181818
Intrices Reward (AUS),0,0.0
Intrigante (FR),1,0.0
Intrigo (GB),0,0.0
Intriguator (FR),3,0.0
Intrigue (GB),8,0.125
Intriguing Lady (IRE),20,0.0
Intrinseque (FR),36,0.0
Intrinsic (GB),0,0.0
Intrinsic Bond (GB),47,0.1489361702127659
Intro (GB),1,0.0
Introduced (USA),0,0.0
Introducing (AUS),0,0.0
Introductory (IRE),6,0.3333333333333333
Introibo (IRE),5,0.0
Introversio (IRE),1,0.0
Intrude (GB),23,0.1739130434782608
Intruse (JPN),1,0.0
Intrusive (GB),11,0.0909090909090909
Intrusively (GB),14,0.0714285714285714
Intsaar (IRE),0,0.0
Intuition (AUS),2,0.0
Intuition (FR),34,0.0588235294117647
Intuitive (IRE),26,0.2307692307692307
Intuitu (FR),4,0.0
Inubono Utagoe (JPN),1,0.0
Inuit (FR),10,0.1
Inuk (IRE),17,0.1176470588235294
Inukshuk (FR),5,0.0
Invade (IRE),17,0.1176470588235294
Invader (AUS),6,0.1666666666666666
Invader (BRZ),3,0.0
Invader (FR),0,0.0
Invader (USA),0,0.0
Invading Humor (USA),2,0.0
Invaluable (NZ),6,0.0
Invaluable Eye (GB),0,0.0
Invaluable One (IRE),0,0.0
Invasion Day (IRE),16,0.0625
Invasive (IRE),4,0.0
Invasive Dreams (AUS),0,0.0
Invectus Hero (GB),6,0.1666666666666666
Inveigle (GB),24,0.0833333333333333
Inveigled (USA),2,0.0
Inveniam Viam (USA),0,0.0
Inventer (FR),0,0.0
Inventif (FR),3,0.0
Inventing (USA),1,0.0
Inventing Blame (USA),0,0.0
Invention (IRE),4,0.0
Inventor (GB),23,0.0869565217391304
Inventor (NZ),8,0.25
Inventress (IRE),3,0.3333333333333333
Inver Bay (IRE),6,0.0
Inver Park (GB),19,0.2631578947368421
Inver Silver (GB),1,0.0
Inveraray (AUS),0,0.0
Inverarity (GB),6,0.0
Inverbrena (IRE),5,0.0
Inverell (NZ),1,0.0
Inverinate (IRE),24,0.0416666666666666
Inverleigh (IRE),10,0.2
Inverloch (IRE),7,0.0
Inverlochy (FR),10,0.4
Invermere (GB),26,0.1153846153846153
Invernata (FR),4,0.0
Inverness (IRE),7,0.1428571428571428
Inverness (USA),0,0.0
Inverno Sureno (BRZ),0,0.0
Inverroche (SAF),0,0.0
Inversion (GB),5,0.0
Invertational (AUS),0,0.0
Invest Wisely (USA),0,0.0
Invested (IRE),7,0.2857142857142857
Invested Prospect (USA),0,0.0
Investigate (NZ),0,0.0
Investigation (GB),11,0.0909090909090909
Investissement (GB),21,0.0476190476190476
Investisseur (FR),7,0.2857142857142857
Investiture (GB),2,0.0
Investment Grade (USA),0,0.0
Investment Manager (GB),31,0.1935483870967742
Investmentstrategy (AUS),1,0.0
Investmentsuccess (IRE),6,0.0
Investor (FR),21,0.2857142857142857
Investor Boom (AUS),19,0.0
Inveterate (IRE),11,0.0
Inveterate (USA),0,0.0
Invicta (JPN),2,0.0
Invicta Choisi Eoz (FR),0,0.0
Invicta Lake (IRE),39,0.0512820512820512
Invicter (FR),19,0.2631578947368421
Invictice (FR),2,0.0
Inviction (IRE),9,0.0
Invicto (AUS),0,0.0
Invictus (GER),22,0.0454545454545454
Invictus (NZ),1,0.0
Invictus Allen (FR),13,0.0769230769230769
Invictus DAlene (FR),0,0.0
Invictus De Brion (FR),11,0.0909090909090909
Invictus Dragon (AUS),10,0.0
Invictus Gold (IRE),10,0.3
Invictus Machin (FR),21,0.0952380952380952
Invictus Prince (GB),18,0.1111111111111111
Invictus Salute (AUS),3,0.0
Invictus Smart (FR),2,0.0
Invictus Spirit (GB),2,0.0
Invictus Spiritus (IRE),0,0.0
Invictus World (FR),14,0.2142857142857142
Invidia (SAF),2,0.0
Invienna (AUS),0,0.0
Invigilate (GB),6,0.1666666666666666
Invigilator (GB),7,0.1428571428571428
Invigorate (GB),9,0.0
Invigorated (IRE),6,0.0
Invigorating (USA),0,0.0
Invillino (FR),1,0.0
Invinciano (AUS),0,0.0
Invincibella (AUS),25,0.2
Invincibella (GB),6,0.1666666666666666
Invincibility (USA),1,0.0
Invincibilus (AUS),0,0.0
Invincible (USA),0,0.0
Invincible Amy (IRE),2,0.0
Invincible Annice (IRE),30,0.1
Invincible Annie (IRE),6,0.0
Invincible Army (IRE),18,0.3333333333333333
Invincible Aura (GB),21,0.1428571428571428
Invincible Beau (AUS),0,0.0
Invincible Bertie (IRE),6,0.0
Invincible Bond (GB),8,0.0
Invincible Boy (IRE),2,0.0
Invincible Cave (IRE),37,0.1351351351351351
Invincible Charm (IRE),0,0.0
Invincible Crown (IRE),25,0.12
Invincible Cry (IRE),2,0.0
Invincible Dani (IRE),3,0.0
Invincible De Mee (FR),7,0.0
Invincible Delight (AUS),2,0.0
Invincible Destiny (IRE),0,0.0
Invincible Diamond (IRE),4,0.0
Invincible Dina (FR),4,0.25
Invincible Diva (IRE),5,0.2
Invincible Don (IRE),48,0.0625
Invincible Dragon (IRE),9,0.5555555555555556
Invincible Duke (IRE),5,0.0
Invincible Fresh (IRE),11,0.1818181818181818
Invincible Gal (GB),1,0.0
Invincible Gem (AUS),24,0.125
Invincible Gift (GB),3,0.0
Invincible Guard (FR),0,0.0
Invincible Heart (AUS),0,0.0
Invincible Heir (GB),4,0.0
Invincible Ibis (AUS),10,0.5
Invincible Ibra (IRE),4,0.0
Invincible Isaac (GB),2,0.0
Invincible Keen (IRE),2,0.0
Invincible King (IRE),3,0.0
Invincible Knight (AUS),1,0.0
Invincible Lad (AUS),2,0.0
Invincible Lad (IRE),5,0.0
Invincible Lady (FR),1,0.0
Invincible Larne (IRE),45,0.1111111111111111
Invincible Lass (IRE),5,0.0
Invincible Lia (IRE),7,0.1428571428571428
Invincible Light (GB),15,0.1333333333333333
Invincible Lotus (AUS),0,0.0
Invincible Love (FR),2,0.0
Invincible Love (GB),11,0.0
Invincible Lucky (AUS),7,0.0
Invincible Madison (AUS),0,0.0
Invincible Man (IRE),3,0.0
Invincible Melody (IRE),23,0.0
Invincible Missile (AUS),70,0.0714285714285714
Invincible Missile (IRE),7,0.0
Invincible Molly (GB),4,0.5
Invincible Nao (FR),23,0.217391304347826
Invincible Navy (IRE),21,0.0
Invincible One (IRE),12,0.0
Invincible Oscar (IRE),4,0.0
Invincible Ourse (IRE),14,0.0
Invincible Papa (AUS),6,0.3333333333333333
Invincible Pass (IRE),1,0.0
Invincible Peace (GB),4,0.0
Invincible Power (FR),2,0.0
Invincible Pursuit (GB),2,0.0
Invincible Queen (FR),4,0.25
Invincible Queen (IRE),26,0.0769230769230769
Invincible Red (FR),2,0.0
Invincible Ridge (IRE),39,0.1025641025641025
Invincible Rocket (IRE),3,0.0
Invincible Royale (IRE),6,0.0
Invincible Ruby (IRE),11,0.0909090909090909
Invincible Ryker (IRE),11,0.2727272727272727
Invincible Sage (AUS),31,0.1290322580645161
Invincible Sea (FR),1,0.0
Invincible Sea (IRE),9,0.0
Invincible Shadow (GB),4,0.0
Invincible Shield (AUS),14,0.2857142857142857
Invincible Siam (IRE),4,0.0
Invincible Soldier (IRE),16,0.125
Invincible Son (AUS),1,0.0
Invincible Song (IRE),5,0.2
Invincible Speed (IRE),25,0.16
Invincible Spy (AUS),1,0.0
Invincible Squaw (FR),0,0.0
Invincible Star (AUS),8,0.25
Invincible Starr (AUS),4,0.0
Invincible Storm (IRE),21,0.0
Invincible Strike (IRE),18,0.1111111111111111
Invincible Swagger (IRE),5,0.2
Invincible Tiger (IRE),3,0.3333333333333333
Invincible Viking (IRE),5,0.0
Invincible Will (IRE),10,0.1
Invincible Wish (IRE),47,0.0638297872340425
Invincible Woman (AUS),1,0.0
Invincible Zeb (IRE),6,0.0
Invincibletomorrow (IRE),5,0.0
Invincibly (IRE),23,0.1304347826086956
Invino Veritas (FR),0,0.0
Invinovich (AUS),0,0.0
Invinsible (IRE),8,0.0
Invinsible Tears (AUS),2,0.0
Invinzabeel (AUS),0,0.0
Inviolable Spirit (IRE),52,0.0961538461538461
Invisible (AUS),17,0.1176470588235294
Invisible (IRE),7,0.0
Invisible Bid (GB),0,0.0
Invisible Clouds (IRE),6,0.0
Invisible Eye (GB),2,0.0
Invisible Friend (IRE),11,0.2727272727272727
Invisible Girl (AUS),0,0.0
Invisible Man (FR),6,0.0
Invisible One (JPN),0,0.0
Invisible Rays (JPN),1,0.0
Invisible Shadow (GB),8,0.0
Invisible Spirit (NZ),0,0.0
Invisible Storm (GB),18,0.0555555555555555
Invisionandqmartyn (IRE),1,0.0
Invitation (IRE),9,0.1111111111111111
Invitation Only (IRE),14,0.4285714285714285
Invitation Only (USA),0,0.0
Invitational (GB),8,0.375
Invitations (AUS),2,0.5
Invite (IRE),8,0.375
Invite (USA),0,0.0
Invite DHonneur (FR),3,0.0
Invite De Marque (FR),15,0.0666666666666666
Invite Special (FR),4,0.0
Invited (GB),17,0.2352941176470588
Invitorio (IRE),18,0.0555555555555555
Invivo (FR),5,0.0
Invocacion (ARG),1,0.0
Invocation (FR),10,0.0
Invoke (IRE),19,0.2105263157894736
Involuntary (USA),4,0.0
Involve (GB),6,0.0
Involved (GB),6,0.3333333333333333
Involvement (GB),12,0.25
Invoqueur (FR),0,0.0
Invulnerable (FR),0,0.0
Inwi (GB),0,0.0
Inwithachance (IRE),6,0.0
Inxile (IRE),9,0.1111111111111111
Inyamazane (IRE),5,0.0
InzNOut (AUS),1,0.0
Inzeo (FR),0,0.0
Inzeo Du Gouet (FR),15,0.1333333333333333
Inzy (FR),2,0.0
Io Motivata (GER),3,0.3333333333333333
Ioannou (GB),0,0.0
Ioda (FR),0,0.0
Iodee (FR),0,0.0
Iokastos (GB),8,0.125
Iolana (USA),0,0.0
Iolani (GER),95,0.1052631578947368
Iolani (JPN),0,0.0
Iolaos Du Mou (FR),13,0.1538461538461538
Iole (URU),1,0.0
Iole My Love (IRE),0,0.0
Iolite (JPN),5,0.0
Iona Days (IRE),17,0.0588235294117647
Iona Island (GB),22,0.0454545454545454
Iona Lad (IRE),5,0.0
Ioni (FR),2,0.0
Ionian (IRE),4,0.0
Ionian Libretta (AUT),1,0.0
Ionian Sea (AUS),0,0.0
Ionian Sea (IRE),1,1.0
Ionity (FR),8,0.125
Ionization (IRE),13,0.1538461538461538
Ionosfera (CHI),5,0.4
Iontach (IRE),4,0.0
Iontach Cheval (GB),16,0.1875
Ionyx (AUS),0,0.0
Iora Glas (IRE),23,0.1739130434782608
Iorana Vallis (FR),18,0.1111111111111111
Iorangi De LIsle (FR),0,0.0
Iorangi de LIsle (FR),3,0.0
Iorens (FR),11,0.0
Ioronta (GB),5,0.0
Iosefa Demonmirail (FR),2,0.0
Iota dEnocq (FR),0,0.0
Ioum Rochelais (FR),3,0.3333333333333333
Ioup La La (FR),3,0.0
Ioupy Collonges (FR),11,0.4545454545454545
Iowa (IRE),12,0.0833333333333333
Iowa Bay (GB),1,0.0
Iowa City (FR),7,0.1428571428571428
Iowa De Balme (FR),0,0.0
Ioweu (GB),4,0.0
Iowna Merc (AUS),11,0.1818181818181818
Iowntheball (GB),5,0.2
Ip Dip (USA),1,0.0
Ip Up (FR),23,0.0869565217391304
Ipanema Beach (IRE),5,0.0
Ipanema Beach (USA),1,0.0
Ipanema Borget (FR),0,0.0
Ipanema Princess (IRE),8,0.125
Ipanema Queen (IRE),8,0.375
Ipanema Sunshine (IRE),0,0.0
Ipanemo (FR),10,0.0
Ipazia (GB),1,0.0
Ipcress File (GB),11,0.0
Ipflibbydibby (IRE),3,0.0
Ipheion (JPN),6,0.1666666666666666
Iphiko (SAF),1,0.0
Iphimedia (AUS),0,0.0
Iphis De LAunay (FR),6,0.1666666666666666
Iphitos (GB),2,0.0
Iphone Addiction (USA),0,0.0
Ipompieridiviggiu (ITY),5,0.2
Ipop Bere (FR),1,0.0
Ipop Fleury (FR),2,0.0
Ipop Ville (FR),1,0.0
Ipparock (IRE),12,0.0833333333333333
Ippennova (FR),2,0.0
Ippling (FR),18,0.0
Ippodamias Girl (USA),5,0.0
Ippone (FR),0,0.0
Ippotheos (IRE),8,0.125
Ipsilante (GB),7,0.0
Ipso Facto (IRE),6,0.0
Ipso Facto (SAF),0,0.0
Ipso Falco (FR),7,0.0
Ipsos Des Bordes (FR),1,0.0
Ipsos Du Berlais (FR),2,0.0
Ipsos Pierji (FR),5,0.0
Ipsy (FR),0,0.0
Iqbaal (IRE),0,0.0
Iquealis (BRZ),0,0.0
Iquem DErable (FR),0,0.0
Iquest (FR),1,0.0
Iquitos (GER),21,0.1904761904761904
Ira Hayes (IRE),12,0.25
Ira Sovrana (IRE),1,0.0
Irada (AUS),0,0.0
Iradie (FR),9,0.0
Iradius (FR),13,0.0769230769230769
Iraja (FR),0,0.0
Irakien (FR),10,0.0
Iraklia (GB),0,0.0
Iraklin (IRE),0,0.0
Iraklion (GER),21,0.0952380952380952
Iralsa (FR),3,0.3333333333333333
Irancy (FR),7,0.4285714285714285
Irandando Has (FR),4,0.5
Iranistan (USA),4,0.0
Iranka De Thaix (FR),1,0.0
Irap (USA),8,0.375
Iraqi (IRE),2,0.0
Irascible (FR),16,0.125
Iratzederrea (FR),8,0.0
Irbis (FR),16,0.0625
Ire Langy (FR),0,0.0
Ire Light (FR),2,0.0
Ireganhar Has (FR),0,0.0
Ireland Alexander (IRE),1,0.0
Irelands Angel (IRE),3,0.0
Irelands Call (GB),0,0.0
Irelands Eye (IRE),18,0.0555555555555555
Irelia (FR),0,0.0
Irena N Ella (USA),0,0.0
Irene Adler (USA),0,0.0
Irene Hull (IRE),0,0.0
Irene May (IRE),11,0.2727272727272727
Irenes Dream (GB),3,0.0
Irenes Pearl (IRE),0,0.0
Irenes Prince (GB),2,0.0
Iresine (FR),20,0.45
Irezumi (GB),36,0.0555555555555555
Irfaans Boy (SAF),0,0.0
Iria Chope (FR),1,0.0
Iriana (FR),0,0.0
Iricot (FR),0,0.0
Irideo (ARG),12,0.0833333333333333
Iridescent (IRE),26,0.1538461538461538
Iridessa (IRE),11,0.3636363636363636
Iridia (FR),2,0.0
Iridia (GER),10,0.0
Iridium (IRE),0,0.0
Irifi (IRE),0,0.0
Iriko dAiry (FR),0,0.0
Irina (BUL),0,0.0
Irina (FR),0,0.0
Irina Has (FR),0,0.0
Irina Palm (BRZ),1,0.0
Irinas Charm (USA),0,0.0
Irinas Path (FR),10,0.0
Irineka (FR),0,0.0
Irinka (FR),4,0.0
Iris Bleu (FR),0,0.0
Iris Bud (USA),4,0.0
Iris Colombe (FR),0,0.0
Iris DArgent (FR),1,0.0
Iris DAubrelle (FR),2,0.0
Iris Dancer (GB),81,0.1358024691358024
Iris De Grugy (FR),4,0.0
Iris Des Issards (FR),14,0.0714285714285714
Iris Des Vignaux (FR),0,0.0
Iris Du Seuil (FR),2,0.0
Iris Emery (FR),14,0.0714285714285714
Iris Feel (JPN),1,0.0
Iris James (FR),6,0.1666666666666666
Iris Luz (PER),0,0.0
Iris Olivia (IRE),0,0.0
Iris Sacre (FR),4,0.0
Irisa (ARG),4,0.0
Irisa (GB),0,0.0
Irisante (GER),13,0.0
Iriseach (IRE),2,0.0
Irish Acclaim (IRE),24,0.1666666666666666
Irish Acclamation (IRE),4,0.0
Irish Aces (USA),5,0.0
Irish Act (IRE),5,0.0
Irish Action (IRE),3,0.0
Irish Admiral (IRE),12,0.25
Irish Agent (IRE),5,0.0
Irish Ambassador (IRE),24,0.0416666666666666
Irish Annie (IRE),3,0.0
Irish Anthem (IRE),1,0.0
Irish Apollo (IRE),0,0.0
Irish Approach (IRE),5,0.0
Irish Art (IRE),12,0.0
Irish Artist (FR),0,0.0
Irish Ballet (IRE),7,0.0
Irish Bar (FR),7,0.1428571428571428
Irish Bay (FR),0,0.0
Irish Belle (IRE),5,0.0
Irish Blaze (IRE),27,0.1111111111111111
Irish Boyo (GB),2,0.0
Irish Buccaneer (IRE),2,0.0
Irish Bulletin (IRE),29,0.1379310344827586
Irish Cailin (IRE),8,0.0
Irish Capital (USA),2,0.5
Irish Cavalier (IRE),20,0.2
Irish Champ (IRE),4,0.0
Irish Chanel (FR),4,0.25
Irish Charm (FR),3,0.0
Irish Chief (USA),6,0.0
Irish Chorus (GB),15,0.2
Irish Class (IRE),0,0.0
Irish Coffe (FR),0,0.0
Irish Colonel (USA),1,0.0
Irish Constabulary (AUS),2,0.0
Irish Constitution (USA),1,0.0
Irish Contessa (USA),2,0.0
Irish DAlsace (FR),2,0.0
Irish Dance (FR),0,0.0
Irish Dancer (IRE),33,0.1212121212121212
Irish Danzing (USA),0,0.0
Irish Dessert (IRE),8,0.0
Irish Diana (GB),1,0.0
Irish Du Gouet (FR),7,0.0
Irish Eclare (IRE),10,0.2
Irish Ed (GB),1,0.0
Irish Eileen (GB),15,0.0
Irish Emperor (IRE),11,0.0909090909090909
